DataLeverandørnavn;ObservationsStedNr;ObservationsStedNavn;Lokalitetsnavn;X_UTM32;Y_UTM32;Startdato;Startklok;Prøvetype;GennemsnitsDybde_m;Parameter;Enhed;Prøvefraktion;Resultat;ResultatAttribut;Oplukningskorrigeret;Kontrol;Kvalitet;Kvalitetsnote;time
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-01-12;1730;Enkeltprøve;5.0;Phosphor, total-P;µg/l;Ej oplyst;52.0;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:04/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-01-12 17:30:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-01-12;1730;Enkeltprøve;5.0;Klorofyl a;µg/l;Ej oplyst;1.8;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:04/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-01-12 17:30:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-02-09;1236;Enkeltprøve;1.0;Ammoniak+ammonium-N;µg/l;Ej oplyst;220.0;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:27/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-02-09 12:36:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-02-09;1236;Enkeltprøve;1.0;Nitrit+nitrat-N;µg/l;Ej oplyst;680.0;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:27/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-02-09 12:36:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-02-09;1236;Enkeltprøve;1.0;Nitrogen,total N;µg/l;Ej oplyst;1152.652459;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:27/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-02-09 12:36:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-02-09;1236;Enkeltprøve;1.0;Ortho-phosphat-P;µg/l;Ej oplyst;28.0;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:27/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-02-09 12:36:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-02-09;1236;Enkeltprøve;1.0;Phosphor, total-P;µg/l;Ej oplyst;43.0;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:27/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-02-09 12:36:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-02-09;1236;Enkeltprøve;1.0;Klorofyl a;µg/l;Ej oplyst;1.4;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:27/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-02-09 12:36:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-02-09;1236;Enkeltprøve;3.7;Ammoniak+ammonium-N;µg/l;Ej oplyst;180.0;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:27/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-02-09 12:36:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-02-09;1236;Enkeltprøve;3.7;Nitrit+nitrat-N;µg/l;Ej oplyst;520.0;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:27/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-02-09 12:36:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-02-09;1236;Enkeltprøve;3.7;Nitrogen,total N;µg/l;Ej oplyst;909.7862328;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:27/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-02-09 12:36:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-02-09;1236;Enkeltprøve;3.7;Ortho-phosphat-P;µg/l;Ej oplyst;36.0;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:27/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-02-09 12:36:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-02-09;1236;Enkeltprøve;3.7;Phosphor, total-P;µg/l;Ej oplyst;50.0;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:27/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-02-09 12:36:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-02-09;1236;Enkeltprøve;3.7;Klorofyl a;µg/l;Ej oplyst;0.3;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:27/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-02-09 12:36:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-04;1200;Enkeltprøve;1.0;Ammoniak+ammonium-N;µg/l;Ej oplyst;350.0;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:42/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-04 12:00:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-04;1200;Enkeltprøve;1.0;Nitrit+nitrat-N;µg/l;Ej oplyst;740.0;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:42/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-04 12:00:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-04;1200;Enkeltprøve;1.0;Nitrogen,total N;µg/l;Ej oplyst;1217.815292;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:42/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-04 12:00:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-04;1200;Enkeltprøve;1.0;Ortho-phosphat-P;µg/l;Ej oplyst;35.0;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:42/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-04 12:00:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-04;1200;Enkeltprøve;1.0;Phosphor, total-P;µg/l;Ej oplyst;76.0;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:42/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-04 12:00:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-04;1200;Enkeltprøve;1.0;Klorofyl a;µg/l;Ej oplyst;1.5;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:42/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-04 12:00:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-04;1200;Enkeltprøve;3.9;Ammoniak+ammonium-N;µg/l;Ej oplyst;240.0;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:42/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-04 12:00:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-04;1200;Enkeltprøve;3.9;Nitrit+nitrat-N;µg/l;Ej oplyst;520.0;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:42/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-04 12:00:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-04;1200;Enkeltprøve;3.9;Nitrogen,total N;µg/l;Ej oplyst;941.586234;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:42/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-04 12:00:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-04;1200;Enkeltprøve;3.9;Ortho-phosphat-P;µg/l;Ej oplyst;44.0;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:42/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-04 12:00:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-04;1200;Enkeltprøve;3.9;Phosphor, total-P;µg/l;Ej oplyst;63.0;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:42/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-04 12:00:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-04;1200;Enkeltprøve;3.9;Klorofyl a;µg/l;Ej oplyst;0.3;<;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:42/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-04 12:00:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-09;1011;Enkeltprøve;1.0;Oxygen indhold;mg/l;Ej oplyst;8.7;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:24/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-09 10:11:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-09;1011;Enkeltprøve;1.0;Ammoniak+ammonium-N;µg/l;Ej oplyst;430.0;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:24/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-09 10:11:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-09;1011;Enkeltprøve;1.0;Nitrit+nitrat-N;µg/l;Ej oplyst;820.0;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:24/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-09 10:11:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-09;1011;Enkeltprøve;1.0;Nitrogen,total N;µg/l;Ej oplyst;1417.48289;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:24/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-09 10:11:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-09;1011;Enkeltprøve;1.0;Ortho-phosphat-P;µg/l;Ej oplyst;36.0;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:24/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-09 10:11:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-09;1011;Enkeltprøve;1.0;Phosphor, total-P;µg/l;Ej oplyst;60.0;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:24/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-09 10:11:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-09;1011;Enkeltprøve;1.0;Klorofyl a;µg/l;Ej oplyst;0.7;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:24/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-09 10:11:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-09;1011;Enkeltprøve;3.9;Oxygen indhold;mg/l;Ej oplyst;4.8;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:24/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-09 10:11:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-09;1011;Enkeltprøve;3.9;Ammoniak+ammonium-N;µg/l;Ej oplyst;250.0;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:24/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-09 10:11:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-09;1011;Enkeltprøve;3.9;Nitrit+nitrat-N;µg/l;Ej oplyst;470.0;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:24/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-09 10:11:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-09;1011;Enkeltprøve;3.9;Nitrogen,total N;µg/l;Ej oplyst;954.9939499;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:24/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-09 10:11:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-09;1011;Enkeltprøve;3.9;Ortho-phosphat-P;µg/l;Ej oplyst;47.0;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:24/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-09 10:11:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-09;1011;Enkeltprøve;3.9;Phosphor, total-P;µg/l;Ej oplyst;62.0;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:24/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-09 10:11:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-09;1011;Enkeltprøve;3.9;Klorofyl a;µg/l;Ej oplyst;0.3;<;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:24/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-09 10:11:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-16;0955;Enkeltprøve;1.0;Oxygen indhold;mg/l;Ej oplyst;5.6;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:24/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-16 09:55:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-16;0955;Enkeltprøve;1.0;Ammoniak+ammonium-N;µg/l;Ej oplyst;700.0;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:24/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-16 09:55:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-16;0955;Enkeltprøve;1.0;Nitrit+nitrat-N;µg/l;Ej oplyst;780.0;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:24/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-16 09:55:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-16;0955;Enkeltprøve;1.0;Nitrogen,total N;µg/l;Ej oplyst;1747.213256;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:24/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-16 09:55:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-16;0955;Enkeltprøve;1.0;Ortho-phosphat-P;µg/l;Ej oplyst;44.0;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:24/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-16 09:55:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-16;0955;Enkeltprøve;1.0;Phosphor, total-P;µg/l;Ej oplyst;84.0;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:24/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-16 09:55:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-16;0955;Enkeltprøve;1.0;Klorofyl a;µg/l;Ej oplyst;3.5;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:24/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-16 09:55:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-16;0955;Enkeltprøve;4.3;Oxygen indhold;mg/l;Ej oplyst;4.2;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:24/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-16 09:55:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-16;0955;Enkeltprøve;4.3;Ammoniak+ammonium-N;µg/l;Ej oplyst;270.0;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:24/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-16 09:55:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-16;0955;Enkeltprøve;4.3;Nitrit+nitrat-N;µg/l;Ej oplyst;500.0;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:24/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-16 09:55:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-16;0955;Enkeltprøve;4.3;Nitrogen,total N;µg/l;Ej oplyst;967.4736689;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:24/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-16 09:55:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-16;0955;Enkeltprøve;4.3;Ortho-phosphat-P;µg/l;Ej oplyst;50.0;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:24/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-16 09:55:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-16;0955;Enkeltprøve;4.3;Phosphor, total-P;µg/l;Ej oplyst;67.0;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:24/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-16 09:55:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-16;0955;Enkeltprøve;4.3;Klorofyl a;µg/l;Ej oplyst;0.5;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:24/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-16 09:55:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-29;0932;Enkeltprøve;1.0;Oxygen indhold;mg/l;Ej oplyst;11.3;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:31/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-29 09:32:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-29;0932;Enkeltprøve;1.0;Ammoniak+ammonium-N;µg/l;Ej oplyst;250.0;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:31/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-29 09:32:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-29;0932;Enkeltprøve;1.0;Nitrit+nitrat-N;µg/l;Ej oplyst;430.0;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:31/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-29 09:32:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-29;0932;Enkeltprøve;1.0;Nitrogen,total N;µg/l;Ej oplyst;970.4663259;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:31/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-29 09:32:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-29;0932;Enkeltprøve;1.0;Ortho-phosphat-P;µg/l;Ej oplyst;7.2;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:31/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-29 09:32:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-29;0932;Enkeltprøve;1.0;Phosphor, total-P;µg/l;Ej oplyst;82.0;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:31/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-29 09:32:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-29;0932;Enkeltprøve;1.0;Klorofyl a;µg/l;Ej oplyst;42.0;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:31/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-29 09:32:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-29;0932;Enkeltprøve;4.7;Oxygen indhold;mg/l;Ej oplyst;9.3;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:31/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-29 09:32:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-29;0932;Enkeltprøve;4.7;Ammoniak+ammonium-N;µg/l;Ej oplyst;210.0;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:31/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-29 09:32:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-29;0932;Enkeltprøve;4.7;Nitrit+nitrat-N;µg/l;Ej oplyst;460.0;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:31/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-29 09:32:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-29;0932;Enkeltprøve;4.7;Nitrogen,total N;µg/l;Ej oplyst;880.4146706;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:31/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-29 09:32:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-29;0932;Enkeltprøve;4.7;Ortho-phosphat-P;µg/l;Ej oplyst;27.0;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:31/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-29 09:32:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-29;0932;Enkeltprøve;4.7;Phosphor, total-P;µg/l;Ej oplyst;63.0;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:31/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-29 09:32:00
Miljøcenter Ringkøbing;93740007;VIB3727-00001;Skive Fjord;504653;6275183;2010-03-29;0932;Enkeltprøve;4.7;Klorofyl a;µg/l;Ej oplyst;16.0;=;J;D, FDC faglig kontrol;Godkendt;2021-02-25 23:31/Datamigrering: Registreret af Mohn, Christian (chmo@dmu.dk);2010-03-29 09:32:00
